ERROR:root:['4/5/2014 13:34', 'Apples', '73']
ERROR:root:['4/5/2014 3:41', 'Cherries', '85']
ERROR:root:['4/6/2014 12:46', 'Pears', '14']
ERROR:root:['4/8/2014 8:59', 'Oranges', '52']
ERROR:root:['4/10/2014 2:07', 'Apples', '152']
ERROR:root:['4/10/2014 18:10', 'Bananas', '23']
ERROR:root:['4/10/2014 2:40', 'Strawberries', '98']
ERROR:root:['4/5/2014 13:34', 'Apples', '73']
ERROR:root:['4/5/2014 3:41', 'Cherries', '85']
ERROR:root:['4/6/2014 12:46', 'Pears', '14']
ERROR:root:['4/8/2014 8:59', 'Oranges', '52']
ERROR:root:['4/10/2014 2:07', 'Apples', '152']
ERROR:root:['4/10/2014 18:10', 'Bananas', '23']
ERROR:root:['4/10/2014 2:40', 'Strawberries', '98']
ERROR:root:['4/5/2014 13:34', 'Apples', '73']
ERROR:root:['4/5/2014 3:41', 'Cherries', '85']
ERROR:root:['4/6/2014 12:46', 'Pears', '14']
ERROR:root:['4/8/2014 8:59', 'Oranges', '52']
ERROR:root:['4/10/2014 2:07', 'Apples', '152']
ERROR:root:['4/10/2014 18:10', 'Bananas', '23']
ERROR:root:['4/10/2014 2:40', 'Strawberries', '98']
ERROR:root:['4/5/2014 13:34', 'Apples', '73']
ERROR:root:['4/5/2014 3:41', 'Cherries', '85']
ERROR:root:['4/6/2014 12:46', 'Pears', '14']
ERROR:root:['4/8/2014 8:59', 'Oranges', '52']
ERROR:root:['4/10/2014 2:07', 'Apples', '152']
ERROR:root:['4/10/2014 18:10', 'Bananas', '23']
ERROR:root:['4/10/2014 2:40', 'Strawberries', '98']
ERROR:root:['4/5/2014 13:34', 'Apples', '73']
ERROR:root:['4/5/2014 3:41', 'Cherries', '85']
ERROR:root:['4/6/2014 12:46', 'Pears', '14']
ERROR:root:['4/8/2014 8:59', 'Oranges', '52']
ERROR:root:['4/10/2014 2:07', 'Apples', '152']
ERROR:root:['4/10/2014 18:10', 'Bananas', '23']
ERROR:root:['4/10/2014 2:40', 'Strawberries', '98']
ERROR:root:['4/5/2014 13:34', 'Apples', '73']
ERROR:root:['4/5/2014 3:41', 'Cherries', '85']
ERROR:root:['4/6/2014 12:46', 'Pears', '14']
ERROR:root:['4/8/2014 8:59', 'Oranges', '52']
ERROR:root:['4/10/2014 2:07', 'Apples', '152']
ERROR:root:['4/10/2014 18:10', 'Bananas', '23']
ERROR:root:['4/10/2014 2:40', 'Strawberries', '98']
ERROR:root:['4/5/2014 13:34', 'Apples', '73']
ERROR:root:['4/5/2014 3:41', 'Cherries', '85']
ERROR:root:['4/6/2014 12:46', 'Pears', '14']
ERROR:root:['4/8/2014 8:59', 'Oranges', '52']
ERROR:root:['4/10/2014 2:07', 'Apples', '152']
ERROR:root:['4/10/2014 18:10', 'Bananas', '23']
ERROR:root:['4/10/2014 2:40', 'Strawberries', '98']
